#  2M2228  Ch1 Light Curve
# Period =        1.3685900 hr
# Time [BMJD]       Counts
  56279.5537829     3307.59204
  56279.5539357     3374.70170
  56279.5540884     3277.42101
  56279.5542413     3457.60481
  56279.5543940     3405.78936
  56279.5545421     3442.70347
  56279.5546948     3508.21582
  56279.5548477     3358.56937
  56279.5549958     3465.44133
  56279.5551486     3569.95477
  56279.5553013     3487.94399
  56279.5554540     3557.80587
  56279.5556023     3389.75344
  56279.5557597     3365.44978
  56279.5559077     3658.95916
  56279.5560605     3568.79814
  56279.5562086     3232.66184
  56279.5563661     3329.48657
  56279.5565142     3505.27703
  56279.5566670     3259.84709
  56279.5568151     3373.40473
  56279.5569678     3550.20817
  56279.5571206     3449.11801
  56279.5572734     3352.33493
  56279.5574262     3461.08866
  56279.5575789     3254.21803
  56279.5577271     3361.62396
  56279.5578799     3339.75442
  56279.5580279     3492.12197
  56279.5581808     3507.07188
  56279.5583335     3437.33000
  56279.5584861     3544.35988
  56279.5586344     3547.35397
  56279.5587871     3225.42093
  56279.5589399     3318.25568
  56279.5590926     3431.76056
  56279.5592408     3599.68589
  56279.5593935     3343.32050
  56279.5595463     3358.24802
  56279.5596991     3257.05177
  56279.5598472     3449.42707
  56279.5600000     3247.69587
  56279.5601527     3390.81609
  56279.5603056     3503.39548
  56279.5604583     3492.57013
  56279.5606064     3425.21912
  56279.5607592     3378.61928
  56279.5609120     3556.84653
  56279.5610601     3450.19726
  56279.5612128     3309.17246
  56279.5613657     3402.39920
  56279.5615184     3400.21218
  56279.5616711     3221.02314
  56279.5618192     3243.20147
  56279.5619721     3214.27458
  56279.5621249     3617.10867
  56279.5622729     3415.66802
  56279.5624257     3280.45791
  56279.5625785     3555.42217
  56279.5627313     3367.22764
  56279.5628794     3615.12355
  56279.5630322     3357.85860
  56279.5631850     3211.86235
  56279.5633377     3202.39750
  56279.5634905     3289.78813
  56279.5636386     3536.14657
  56279.5637913     3326.45179
  56279.5639441     3230.38240
  56279.5642450     3165.41117
  56279.5643978     3321.31104
  56279.5645505     3142.66392
  56279.5646987     3405.07172
  56279.5648515     3336.29878
  56279.5650042     3506.34865
  56279.5651569     3208.67143
  56279.5653051     3343.97459
  56279.5654579     3319.35591
  56279.5657635     3289.49393
  56279.5659116     3250.65273
  56279.5660644     3332.59366
  56279.5662171     3133.18662
  56279.5663698     3290.85638
  56279.5665226     3341.17841
  56279.5666707     3375.80688
  56279.5668236     3397.66988
  56279.5669763     3262.01527
  56279.5671244     3362.61991
  56279.5672771     3505.98539
  56279.5674299     3374.74588
  56279.5675827     3348.61041
  56279.5677354     3318.80495
  56279.5678836     3430.91096
  56279.5680364     3281.52182
  56279.5681891     3381.05582
  56279.5683419     3065.88986
  56279.5684899     3259.65168
  56279.5686429     3149.06549
  56279.5687956     3344.84270
  56279.5689437     3428.70096
  56279.5690965     3485.56689
  56279.5692492     3391.26136
  56279.5694021     3378.91195
  56279.5695547     3333.15516
  56279.5697029     3315.33347
  56279.5698556     3302.63511
  56279.5700083     3236.82649
  56279.5701566     3365.82609
  56279.5703093     3326.49680
  56279.5704621     3363.74854
  56279.5706148     3467.85324
  56279.5707631     3374.14135
  56279.5709158     3403.74366
  56279.5710684     3245.59046
  56279.5712213     3447.69193
  56279.5713694     3418.39241
  56279.5715223     3535.08169
  56279.5716750     3574.93308
  56279.5718277     3182.47735
  56279.5719759     3416.03488
  56279.5721286     3485.69433
  56279.5722814     3335.43885
  56279.5724341     3431.91054
  56279.5725870     3195.98032
  56279.5727397     3277.22382
  56279.5728877     3366.57186
  56279.5730407     3668.71677
  56279.5731887     3428.74907
  56279.5733415     3381.37005
  56279.5734942     3143.15140
  56279.5736471     3328.32309
  56279.5737998     3470.93752
  56279.5739479     3449.67791
  56279.5741007     3239.48761
  56279.5742534     3266.85487
  56279.5744063     3416.48527
  56279.5745543     3273.14972
  56279.5747071     3383.67758
  56279.5748599     3494.57642
  56279.5750126     3341.82128
  56279.5751608     3415.01804
  56279.5753135     3368.23678
  56279.5754663     3359.58942
  56279.5756190     3236.32855
  56279.5757673     3375.54281
  56279.5759200     3502.04200
  56279.5760727     3390.72283
  56279.5762255     3380.75251
  56279.5763736     3653.89512
  56279.5765264     3437.80965
  56279.5766791     3322.59127
  56279.5768274     3340.53852
  56279.5769801     3242.48570
  56279.5771375     3513.31494
  56279.5772856     3357.21184
  56279.5774337     3207.60721
  56279.5775864     3513.44946
  56279.5777392     3479.38192
  56279.5778919     3253.61304
  56279.5780448     3240.68381
  56279.5781929     3541.99231
  56279.5783457     3340.35233
  56279.5784984     3188.68317
  56279.5786512     3287.11838
  56279.5787993     3250.42401
  56279.5789521     3461.50355
  56279.5791049     3359.73759
  56279.5792530     3446.55102
  56279.5794105     3318.56526
  56279.5795586     3335.30188
  56279.5797113     3627.34788
  56279.5798641     3235.76510
  56279.5800121     3368.74877
  56279.5801650     3389.37845
  56279.5803177     3217.41039
  56279.5804706     3428.23659
  56279.5806187     3315.67822
  56279.5807713     3273.05466
  56279.5809242     3534.96540
  56279.5810769     3459.24634
  56279.5812251     3524.52167
  56279.5813778     3389.23547
  56279.5815352     3308.09052
  56279.5816834     3472.27564
  56279.5818315     3435.07598
  56279.5819842     3311.78061
  56279.5821370     3308.11516
  56279.5822899     3555.45739
  56279.5824379     3514.50878
  56279.5825908     3484.04661
  56279.5827435     3320.83703
  56279.5828962     3238.17994
  56279.5830444     3242.86659
  56279.5831970     3336.97947
  56279.5833499     3480.90057
  56279.5835026     3459.15797
  56279.5836507     3398.62076
  56279.5838036     3418.92748
  56279.5839563     3307.13527
  56279.5841091     3408.68410
  56279.5842572     3463.67957
  56279.5844101     3410.46582
  56279.5845627     3511.58425
  56279.5847155     3551.85714
  56279.5848637     3411.75662
  56279.5850164     3365.79212
  56279.5851693     3460.00207
  56279.5853219     3458.36299
  56279.5854701     3612.91930
  56279.5856229     3657.50999
  56279.5859284     3473.91313
  56279.5860765     3618.58825
  56279.5862294     3618.75592
  56279.5863821     3501.91801
  56279.5865347     3474.22475
  56279.5866829     3544.78040
  56279.5868357     3505.60186
  56279.5869885     3298.58464
  56279.5871413     3471.90717
  56279.5872894     3501.48266
  56279.5874468     3456.72025
  56279.5875949     3571.25075
  56279.5877476     3468.91149
  56279.5878958     3546.90456
  56279.5880486     3494.52183
  56279.5882013     3513.36756
  56279.5883541     3555.56725
  56279.5885022     3499.45384
  56279.5886550     3330.94755
  56279.5888078     3496.47089
  56279.5889605     3621.13512
  56279.5891087     3573.53207
  56279.5892661     3361.67461
  56279.5894142     3482.19926
  56279.5895670     3390.04755
  56279.5897150     3205.06171
  56279.5898679     3556.84250
  56279.5900207     3529.37633
  56279.5901735     3396.14822
  56279.5903261     3519.68222
  56279.5904742     3531.92264
  56279.5906272     3406.23577
  56279.5909279     3421.95049
  56279.5910808     3675.34078
  56279.5912335     3442.45727
  56279.5913863     3585.98529
  56279.5915343     3369.54732
  56279.5916918     3557.18548
  56279.5918399     3546.83011
  56279.5919928     3339.80896
  56279.5921409     3574.41081
  56279.5922982     3349.48199
  56279.5924464     3514.67699
  56279.5925991     3449.87256
  56279.5927473     3524.19165
  56279.5929000     3527.42996
  56279.5930528     3436.53111
  56279.5932056     3581.99386
  56279.5933536     3479.85121
  56279.5935112     3375.57918
  56279.5936592     3560.15651
  56279.5938120     3408.96383
  56279.5939647     3437.85873
  56279.5941129     3537.12688
  56279.5942656     3438.86045
  56279.5944185     3526.24077
  56279.5945711     3511.86409
  56279.5947239     3632.79439
  56279.5948721     3667.38643
  56279.5950248     3446.07374
  56279.5951730     3559.70522
  56279.5953258     3444.27368
  56279.5954786     3545.76758
  56279.5956313     3451.02096
  56279.5957794     3391.01635
  56279.5959322     3525.59035
  56279.5960895     3596.20006
  56279.5962378     3441.50332
  56279.5963858     3553.18078
  56279.5965387     3394.70445
  56279.5966914     3558.17636
  56279.5968441     3359.37496
  56279.5969923     3604.33207
  56279.5971451     3491.50017
  56279.5972979     3568.45701
  56279.5974505     3394.99793
  56279.5976034     3528.00665
  56279.5977515     3404.39685
  56279.5979041     3610.22089
  56279.5980571     3414.83883
  56279.5982050     3480.35227
  56279.5983626     3474.68387
  56279.5985106     3328.69897
  56279.5986634     3161.83512
  56279.5988116     3587.79239
  56279.5989643     3467.98713
  56279.5991172     3446.00325
  56279.5992698     3431.74826
  56279.5994180     3643.52723
  56279.5995707     3487.63956
  56279.5997236     3511.26934
  56279.5998763     3269.67413
  56279.6000244     3663.17276
  56279.6001772     3483.54398
  56279.6003300     3519.88511
  56279.6004827     3546.25101
  56279.6006355     3535.37238
  56279.6007836     3408.05635
  56279.6009364     3351.95576
  56279.6010891     3553.28847
  56279.6012373     3561.97070
  56279.6013900     3465.41955
  56279.6015428     3423.10936
  56279.6016956     3400.05444
  56279.6018437     3386.43090
  56279.6019965     3515.88361
  56279.6023020     3479.82971
  56279.6024501     3595.98533
  56279.6026028     3573.34491
  56279.6027557     3432.98958
  56279.6029084     3398.53350
  56279.6030613     3773.18779
  56279.6032093     3690.80763
  56279.6033620     3455.57914
  56279.6035149     3354.72989
  56279.6036676     3544.41739
  56279.6038158     3615.82865
  56279.6039685     3489.18425
  56279.6041213     3442.02826
  56279.6042695     3443.03431
  56279.6044221     3453.91455
  56279.6045750     3341.18964
  56279.6048759     3392.41108
  56279.6050286     3501.47604
  56279.6051861     3505.61981
  56279.6053342     3292.18938
  56279.6054823     3551.51436
  56279.6056397     3454.62014
  56279.6057878     3453.30127
  56279.6059406     3205.23702
  56279.6060887     3307.90134
  56279.6062416     3544.79860
  56279.6063942     3366.50336
  56279.6065470     3626.31174
  56279.6066999     3398.02252
  56279.6068479     3679.73000
  56279.6070007     3369.92146
  56279.6071534     3282.92874
  56279.6073017     3304.41050
  56279.6074544     3561.69575
  56279.6076071     3512.38239
  56279.6077598     3352.22963
  56279.6079080     3442.16255
  56279.6080608     3387.98969
  56279.6082135     3459.56076
  56279.6083663     3430.13424
  56279.6085144     3582.02228
  56279.6086672     3277.69797
  56279.6088201     3534.28568
  56279.6089727     3258.29515
  56279.6091210     3488.28421
  56279.6092737     3382.77893
  56279.6094264     3636.37316
  56279.6095792     3452.24800
  56279.6097319     3387.58334
  56279.6098801     3452.91908
  56279.6100329     3484.70766
  56279.6101857     3420.81621
  56279.6103337     3446.21120
  56279.6104865     3343.22275
  56279.6106393     3404.41987
  56279.6107921     3525.35671
  56279.6109402     3555.38656
  56279.6110929     3386.99857
  56279.6112457     3392.02431
  56279.6113985     3535.34273
  56279.6115466     3401.67396
  56279.6116994     3431.50208
  56279.6118521     3452.21461
  56279.6120050     3375.28553
  56279.6121530     3599.74951
  56279.6123057     3385.51082
  56279.6124586     3471.54761
  56279.6126113     3357.45547
  56279.6127641     3354.57174
  56279.6129122     3259.50708
  56279.6130650     3422.43652
  56279.6132178     3307.53427
  56279.6133659     3424.56568
  56279.6135188     3335.34669
  56279.6136714     3417.19881
  56279.6138288     3188.73929
  56279.6139724     3628.57411
  56279.6141251     3415.47998
  56279.6142779     3570.85449
  56279.6144306     3527.54742
  56279.6145788     3289.62094
  56279.6147315     3376.39836
  56279.6148844     3310.60418
  56279.6150371     3590.59399
  56279.6151852     3701.08900
  56279.6153380     3288.52606
  56279.6154907     3242.79703
  56279.6156435     3531.07837
  56279.6157962     3298.46173
  56279.6159490     3578.80397
  56279.6162499     3450.72054
  56279.6163981     3425.78428
  56279.6165508     3463.52493
  56279.6167037     3393.29118
  56279.6168563     3363.60110
  56279.6170090     3201.19424
  56279.6171573     3545.54641
  56279.6173100     3530.55429
  56279.6174628     3386.78482
  56279.6176109     3436.61757
  56279.6177637     3483.03934
  56279.6179165     3249.20998
  56279.6180691     3560.26627
  56279.6182173     3326.43407
  56279.6183702     3286.34241
  56279.6185229     3162.36359
  56279.6186757     3248.55311
  56279.6188285     3292.64515
  56279.6189766     3286.30760
  56279.6191293     3316.59006
  56279.6192821     3370.69402
  56279.6195830     3454.43164
  56279.6197357     3394.27825
  56279.6198885     3354.64112
  56279.6200367     3525.27420
  56279.6201894     3375.83887
  56279.6203423     3299.96077
  56279.6204950     3382.87203
  56279.6206430     3462.93229
  56279.6207959     3491.71438
  56279.6209485     3266.10988
  56279.6211014     3348.98450
  56279.6212494     3335.65916
  56279.6214024     3266.47167
  56279.6215550     3643.59185
  56279.6217078     3185.82827
  56279.6218606     3430.18159
  56279.6220087     3352.80461
  56279.6221615     3323.95301
  56279.6223142     3357.17308
  56279.6224624     3387.23909
  56279.6226152     3460.38503
  56279.6227678     3535.58998
  56279.6229206     3324.35825
  56279.6230688     3219.62122
  56279.6232216     3405.41591
  56279.6233743     3356.49368
  56279.6235271     3429.96127
  56279.6236752     3475.95672
  56279.6238326     3402.42411
  56279.6239807     3365.63964
  56279.6241335     3316.81381
  56279.6242862     3232.56092
  56279.6244345     3620.42644
  56279.6245872     3329.18936
  56279.6247400     3159.76590
  56279.6248927     3345.38319
  56279.6250409     3512.66945
  56279.6251936     3381.81223
  56279.6253464     3439.91154
  56279.6254945     3557.46868
  56279.6256473     3335.37049
  56279.6258001     3295.64195
  56279.6259527     3441.85342
  56279.6261009     3239.78562
  56279.6262537     3440.38466
  56279.6264065     3354.69063
  56279.6265593     3364.06165
  56279.6267074     3306.79792
  56279.6268602     3379.06913
  56279.6270175     3446.31431
  56279.6271657     3330.04026
  56279.6273138     3375.04332
  56279.6274667     3231.57877
  56279.6276194     3238.57746
  56279.6277720     3217.59468
  56279.6279249     3324.15398
  56279.6280730     3474.71988
  56279.6282258     3237.97342
  56279.6283786     3376.07393
  56279.6285267     3496.21243
  56279.6286795     3348.84488
  56279.6288322     3434.33701
  56279.6289850     3429.14085
  56279.6291330     3331.00737
  56279.6292859     3370.54756
  56279.6294386     3261.79660
  56279.6295914     3305.10652
  56279.6297442     3270.41852
  56279.6298922     3295.59787
  56279.6300451     3300.46641
  56279.6301979     3297.99129
  56279.6303460     3384.96501
  56279.6304988     3532.02075
  56279.6306515     3383.99305
  56279.6308043     3295.73456
  56279.6309570     3323.00853
  56279.6311051     3324.99963
  56279.6312579     3426.53559
  56279.6314107     3424.38711
  56279.6315588     3219.83579
  56279.6317117     3298.81511
  56279.6318644     3281.82255
  56279.6320171     3387.26117
  56279.6321698     3366.80768
  56279.6323181     3156.30236
  56279.6324708     3428.37026
  56279.6326235     3317.18538
  56279.6327717     3250.96632
  56279.6329244     3362.19502
  56279.6330773     3407.25607
  56279.6332299     3335.79180
  56279.6333782     3383.92375
  56279.6335309     3449.46254
  56279.6336836     3405.28097
  56279.6338365     3167.80203
  56279.6339892     3536.31930
  56279.6341374     3402.13063
  56279.6342901     3328.43444
  56279.6344428     3380.39726
  56279.6345910     3280.96822
  56279.6347437     3379.64656
  56279.6348966     3244.61729
  56279.6350493     3530.06327
  56279.6351974     3436.70400
  56279.6353502     3480.90681
  56279.6355076     3494.49857
  56279.6356558     3257.90234
  56279.6358039     3415.49412
  56279.6359566     3329.14757
  56279.6361094     3592.12521
  56279.6362621     3276.78683
  56279.6364150     3330.13542
  56279.7008359     3351.73314
  56279.7009882     3622.78461
  56279.7011410     3310.24451
  56279.7012938     3541.63384
  56279.7014420     3352.89966
  56279.7015947     3471.99469
  56279.7017473     3297.49241
  56279.7018955     3484.15797
  56279.7020483     3450.67653
  56279.7022012     3599.11964
  56279.7023492     3601.10658
  56279.7025021     3469.46866
  56279.7026548     3414.35041
  56279.7028075     3601.89442
  56279.7029604     3629.32324
  56279.7031085     3510.99899
  56279.7032612     3457.82692
  56279.7034139     3504.71632
  56279.7035668     3539.85665
  56279.7037149     3396.20545
  56279.7038677     3399.44717
  56279.7040204     3562.23056
  56279.7041685     3490.62729
  56279.7043259     3684.27361
  56279.7044740     3505.35565
  56279.7046269     3397.90949
  56279.7047796     3393.29381
  56279.7049323     3460.57653
  56279.7050805     3670.81545
  56279.7052333     3369.54490
  56279.7053861     3235.97722
  56279.7055342     3560.90861
  56279.7056869     3625.60719
  56279.7058397     3666.92792
  56279.7059925     3532.43279
  56279.7061405     3448.84442
  56279.7062933     3515.46258
  56279.7064462     3667.76174
  56279.7065988     3412.17490
  56279.7067469     3505.47045
  56279.7068998     3508.88175
  56279.7070525     3349.35285
  56279.7072007     3652.74326
  56279.7073535     3541.91050
  56279.7075063     3467.24954
  56279.7076589     3470.75336
  56279.7078117     3711.82871
  56279.7079646     3577.79182
  56279.7081126     3620.21347
  56279.7082655     3454.17940
  56279.7084182     3488.77172
  56279.7085664     3512.25723
  56279.7087237     3420.60796
  56279.7088718     3528.12488
  56279.7090246     3499.81452
  56279.7091727     3502.36697
  56279.7093256     3595.30988
  56279.7094783     3610.46849
  56279.7096311     3502.27503
  56279.7097791     3777.28256
  56279.7099320     3661.57264
  56279.7100848     3548.68482
  56279.7102375     3517.72165
  56279.7103857     3538.77375
  56279.7105384     3537.50894
  56279.7106911     3475.17993
  56279.7108440     3475.76798
  56279.7109920     3675.03865
  56279.7111449     3513.00975
  56279.7112975     3287.47992
  56279.7114502     3431.21856
  56279.7115984     3534.90918
  56279.7117512     3684.41967
  56279.7119040     3602.93881
  56279.7122049     3540.17688
  56279.7123576     3511.67492
  56279.7125105     3397.37614
  56279.7126632     3462.80416
  56279.7128113     3368.57387
  56279.7129641     3446.17690
  56279.7131168     3533.78952
  56279.7132697     3498.44110
  56279.7134177     3414.01460
  56279.7135752     3241.75763
  56279.7137233     3401.16810
  56279.7138760     3576.92688
  56279.7140242     3436.35111
  56279.7141770     3508.91712
  56279.7143297     3576.62447
  56279.7144824     3425.19562
  56279.7146307     3440.68033
  56279.7147880     3465.94575
  56279.7149361     3515.13892
  56279.7150890     3460.20615
  56279.7152371     3347.51930
  56279.7153898     3696.85030
  56279.7156953     3337.05505
  56279.7158435     3384.38590
  56279.7159962     3454.03591
  56279.7161490     3212.47736
  56279.7163018     3438.62347
  56279.7164499     3344.70966
  56279.7166028     3152.94021
  56279.7169082     3403.48768
  56279.7172138     3438.39652
  56279.7173619     3719.45434
  56279.7175146     3509.17556
  56279.7176674     3441.56615
  56279.7178156     3510.21093
  56279.7179683     3301.60264
  56279.7182693     3527.13655
  56279.7184266     3464.35224
  56279.7185746     3375.61968
  56279.7187275     3558.80594
  56279.7188756     3598.50540
  56279.7190284     3384.60317
  56279.7191812     3460.32404
  56279.7193339     3534.57185
  56279.7194821     3446.03141
  56279.7196348     3505.01822
  56279.7197877     3493.84825
  56279.7199404     3531.08357
  56279.7200885     3534.98550
  56279.7202412     3398.94067
  56279.7203940     3514.96463
  56279.7205468     3445.60716
  56279.7206949     3401.00598
  56279.7208478     3387.27356
  56279.7210005     3404.58343
  56279.7211533     3362.07902
  56279.7213013     3538.88126
  56279.7214542     3381.84163
  56279.7216069     3402.14949
  56279.7217596     3401.70174
  56279.7219078     3563.00875
  56279.7220652     3361.65937
  56279.7222134     3548.56357
  56279.7223661     3505.65165
  56279.7225188     3408.37688
  56279.7226670     3307.73284
  56279.7228197     3218.05584
  56279.7229726     3521.73363
  56279.7231206     3576.52048
  56279.7232734     3631.86199
  56279.7234261     3635.27857
  56279.7235789     3395.78089
  56279.7237271     3141.73403
  56279.7238845     3448.26232
  56279.7240327     3424.07616
  56279.7241854     3501.09058
  56279.7243335     3614.88858
  56279.7244910     3436.68395
  56279.7246390     3523.97922
  56279.7247917     3331.27748
  56279.7249399     3427.59750
  56279.7250926     3458.55554
  56279.7252456     3443.17982
  56279.7253982     3314.59097
  56279.7255464     3430.44463
  56279.7256992     3361.04280
  56279.7258519     3418.09160
  56279.7260047     3283.20036
  56279.7261528     3340.39553
  56279.7263057     3628.19352
  56279.7264583     3518.50267
  56279.7266112     3616.24233
  56279.7267592     3431.16223
  56279.7269120     3565.46546
  56279.7270649     3408.03093
  56279.7272175     3521.12404
  56279.7273657     3563.07199
  56279.7275184     3515.35666
  56279.7276712     3224.27570
  56279.7278240     3292.99248
  56279.7279721     3636.21917
  56279.7281249     3157.50496
  56279.7282776     3235.22134
  56279.7285785     3475.24087
  56279.7287313     3315.91545
  56279.7288841     3285.38331
  56279.7290369     3364.95258
  56279.7293378     3351.35521
  56279.7294905     3394.59809
  56279.7296432     3273.16215
  56279.7297960     3404.69407
  56279.7299442     3493.80585
  56279.7300969     3402.72759
  56279.7302498     3353.97849
  56279.7303978     3448.38100
  56279.7305506     3369.79850
  56279.7307034     3550.86212
  56279.7308561     3220.56792
  56279.7310043     3427.05663
  56279.7311570     3357.66270
  56279.7313098     3372.32924
  56279.7314626     3391.99988
  56279.7316107     3398.19402
  56279.7317634     3374.67014
  56279.7319162     3386.78460
  56279.7320690     3407.86599
  56279.7322171     3426.41157
  56279.7323699     3341.29619
  56279.7325227     3420.46262
  56279.7326754     3334.15952
  56279.7328236     3378.69023
  56279.7329810     3235.08329
  56279.7331291     3450.02992
  56279.7332818     3134.86208
  56279.7334300     3426.34988
  56279.7335828     3288.12490
  56279.7337355     3426.08154
  56279.7338883     3322.46428
  56279.7341891     3354.09998
  56279.7343420     3353.35584
  56279.7344947     3516.41354
  56279.7346475     3342.42586
  56279.7348002     3409.72328
  56279.7349485     3187.81475
  56279.7351011     3355.32449
  56279.7352492     3490.00067
  56279.7354021     3288.48083
  56279.7355548     3348.46867
  56279.7357076     3346.69742
  56279.7358603     3331.43595
  56279.7360085     3301.09642
  56279.7361613     3329.80782
  56279.7363139     3423.28233
  56279.7364621     3207.56326
  56279.7366148     3381.28808
  56279.7367676     3320.58444
  56279.7369204     3318.00596
  56279.7370685     3263.23994
  56279.7372214     3176.47739
  56279.7373741     3245.75518
  56279.7375270     3510.39283
  56279.7376750     3314.49465
  56279.7378277     3161.80618
